name,type,interconnectivity,interaction_sharing,perspective_experience_perception,start_date,end_date,group_solo,course,materials
octopalien,video game,no,no,no,Sept 2022,Oct 2022,partner,MAS 121,"Unity Game Engine
Photoshop
Procreate"
car game,video game,no,no,no,Oct 2022,Nov 2022,partner,MAS 121,"Unity Game Engine
Photoshop
Procreate"
apple & person,sculpture,yes,no,no,Jan 2024,Apr 2024,solo,ARTS 207,"Wood
Plaster
Burlap
Acrylic Paint"
memory box house,sculpture,yes,yes,yes,Apr 2024,May 2024,solo,ARTS 207,"Wood
Mirrors
Velcro"
Uglow copy?,painting,kinda,no,kinda,Mar 2024,Apr 2024 / Present,solo,ARTS 218,"Oil Paint
Pencil
Wood
Canvas
Acrylic Gesso"
body series,painting,kinda,kinda,yes,Apr 2024,May 2024,solo,ARTS 218,"Wood
Canvas
Acrylic
Oil Paint
Plaster of Paris"
Reed perspective,drawing,kinda,yes,yes,July 2023,July 2023,solo,ARTS 105,Colored Pencil
chonk perspective,drawing,kinda,yes,yes,July 2023,July 2023,solo,ARTS 105,Colored Pencil
landart series??,drawing,kinda,no,kinda,July 2023,July 2023,solo,ARTS 105,"Rocks
Paper
Camera
Tape"
"""Choro"" drawing??",drawing,kinda,no,kinda,,,solo,-,Pencil
115 website?,coding / cs,,,,,,group,CS 115,"HTML
CSS
JS
Photoshop"
220 app inc. wireframes?,coding / cs,,yes,yes,May 2024,July 2024,group,CS 220,"Figma
Balsamiq
Procreate
Miro"
snow white map?,other,yes,yes,kinda,-,-,solo,ANTH 226,ArcGIS
jewellery holder?,other,no,no,no,Oct 2024,Oct 2024,solo,-,Wire
mr. s versions,drawing,yes,,yes,Oct 2024,Oct 2024,partner,PSYC 307R,"Paper
Cardboard
Photoshop"
slideshow for 216?,other: docs,yes,yes,yes,May 2023,May 2023,solo,PSYC 216,Powerpoint
mindmaps? (jeremy),other: docs,,yes,yes,Spring 2023,Spring 2023,solo,PSYC 105,XMind
dev. journal?,other: docs,,yes,yes,Sept 2022,Dec 2022,solo,MAS 121 / -,Google Docs
study spreadsheet?,other: docs,,kinda,yes,Spring 2023,Spring 2023,solo,-,Google Sheets
sketchbooks?,other,kinda,kinda,yes,...,,solo,"ARTS 105, ARTS 218, ARTS 307R, ...",
AELN,video game,,,yes,Jan 2025,May 2025,group,CS/MAS 365,"Unity Game Engine
Photoshop
Blender
Sketchfab
"
3d nails,sculpture,yes,kinda,kinda,Feb 2025,Mar 2025,solo,ARTS 307,"3D Scanner
3D Printer
Blender
Nail E-file
Solid Builder Gel
Gel Polish"
